    x         y        ÏÊÐÀ      ËÊÐÀ   
  1.109766  2.716918  4.067028  4.065973
  1.110156  2.718506  4.068082  4.067028
  1.110547  2.720095  4.069135  4.068082
  1.110938  2.721685  4.070188  4.069135
  1.111328  2.723275  4.071241  4.070188
  1.111719  2.724865  4.072293  4.071241
  1.112109  2.726456  4.073345  4.072293
  1.112500  2.728047  4.074397  4.073345
  1.112891  2.729639  4.075448  4.074397
  1.113281  2.731231  4.076498  4.075448
  1.113672  2.732823  4.077548  4.076498
  1.114063  2.734416  4.078598  4.077548
  1.114453  2.736009  4.079647  4.078598
  1.114844  2.737603  4.080696  4.079647
  1.115234  2.739197  4.081745  4.080696
  1.115625  2.740791  4.082793  4.081745
  1.116016  2.742386  4.083840  4.082793
  1.116406  2.743981  4.084888  4.083840
  1.116797  2.745577  4.085934  4.084888
  1.117188  2.747173  4.086981  4.085934
  1.117578  2.748769  4.088026  4.086981
  1.117969  2.750366  4.089072  4.088026
  1.118359  2.751964  4.090117  4.089072
  1.118750  2.753561  4.091162  4.090117
  1.119141  2.755159  4.092206  4.091162
  1.119531  2.756758  4.093249  4.092206
  1.119922  2.758357  4.094293  4.093249
  1.120313  2.759956  4.095336  4.094293
  1.120703  2.761556  4.096378  4.095336
  1.121094  2.763156  4.097420  4.096378
  1.121484  2.764757  4.098462  4.097420
  1.121875  2.766358  4.099503  4.098462
  1.122266  2.767959  4.100543  4.099503
  1.122656  2.769561  4.101584  4.100543
  1.123047  2.771163  4.102623  4.101584
  1.123438  2.772765  4.103663  4.102623
  1.123828  2.774368  4.104702  4.103663
  1.124219  2.775972  4.105740  4.104702
  1.124609  2.777576  4.106778  4.105740
  1.125000  2.779180  4.107816  4.106778
  1.125391  2.780784  4.108853  4.107816
  1.125781  2.782389  4.109890  4.108853
  1.126172  2.783995  4.110926  4.109890
  1.126563  2.785601  4.111962  4.110926
  1.126953  2.787207  4.112997  4.111962
  1.127344  2.788814  4.114032  4.112997
  1.127734  2.790421  4.115066  4.114032
  1.128125  2.792028  4.116100  4.115066
  1.128516  2.793636  4.117134  4.116100
  1.128906  2.795244  4.118167  4.117134
  1.129297  2.796853  4.119200  4.118167
  1.129688  2.798462  4.120232  4.119200
  1.130078  2.800071  4.121264  4.120232
  1.130469  2.801681  4.122295  4.121264
  1.130859  2.803292  4.123326  4.122295
  1.131250  2.804902  4.124356  4.123326
  1.131641  2.806513  4.125386  4.124356
  1.132031  2.808125  4.126416  4.125386
  1.132422  2.809737  4.127445  4.126416
  1.132813  2.811349  4.128474  4.127445
  1.133203  2.812962  4.129502  4.128474
  1.133594  2.814575  4.130529  4.129502
  1.133984  2.816188  4.131557  4.130529
  1.134375  2.817802  4.132583  4.131557
  1.134766  2.819416  4.133610  4.132583
  1.135156  2.821031  4.134636  4.133610
  1.135547  2.822646  4.135661  4.134636
